original_row_index,generated_version,item_number,list_item,Full verb phrase,Causality,NP1,verb,NP2,because,pronoun,präposition,adjective + verb,and,NP final,verb final,Generated-Sentence,np2_replacement_status,NP1 - male,NP1 - female,NP2 - male,NP2 - female,verb_bias,Unnamed: 7,Unnamed: 18,Ferstl_verb_eng,Ferstl_sem_cat,Ferstl_eng_verb_length,Ferstl_eng_verb_freq,Ferstl_val,Ferstl_IVC,verb_bias.1,new verb,old verb,german_verb_freq,german_verb_length,Unnamed: 30,Previous-Sentences (04/2026),adj,german_adj_freq,german_adj_length,Susanne_avgRating_Score,Susanne_avgRating_Score.1,20_Best_Verbs,adj_amb,verb_changed,verb_change_log,adjective_changed,adjective_change_log,preposition_changed,preposition_change_log,und_changed,und_change_log
228,original,1,1,belästigte,NP1-Causality,David,belästigte,"Linda,",weil,er,am frühen Morgen,rücksichtslos war,und,die Musik,aufdrehte,"David belästigte Linda, weil er am frühen Morgen rücksichtslos war und die Musik aufdrehte.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8.0,25.0,-1.36,85,NP1,regte … auf,aufregte,0.11,8.0,,"Der Schüler regte die Lehrerin auf, weil er am frühen Morgen unüberhörbar war und Störung erzeugte.",unüberhörbar,0.94,12.0,68.75,68.75,optimal,nonamb,True,regte -> belästigte (Eng: agitated),True,unüberhörbar war -> rücksichtslos war,False,,True,Störungen verursachte -> die Musik aufdrehte
228,both_male,2,1,belästigte,NP1-Causality,David,belästigte,"Frank,",weil,er,am frühen Morgen,rücksichtslos war,und,die Musik,aufdrehte,"David belästigte Frank, weil er am frühen Morgen rücksichtslos war und die Musik aufdrehte.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8.0,25.0,-1.36,85,NP1,regte … auf,aufregte,0.11,8.0,,"Der Schüler regte die Lehrerin auf, weil er am frühen Morgen unüberhörbar war und Störung erzeugte.",unüberhörbar,0.94,12.0,68.75,68.75,optimal,nonamb,True,regte -> belästigte (Eng: agitated),True,unüberhörbar war -> rücksichtslos war,False,,True,Störungen verursachte -> die Musik aufdrehte
228,both_female,3,1,belästigte,NP1-Causality,Sabine,belästigte,"Linda,",weil,sie,am frühen Morgen,rücksichtslos war,und,die Musik,aufdrehte,"Sabine belästigte Linda, weil sie am frühen Morgen rücksichtslos war und die Musik aufdrehte.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8.0,25.0,-1.36,85,NP1,regte … auf,aufregte,0.11,8.0,,"Der Schüler regte die Lehrerin auf, weil er am frühen Morgen unüberhörbar war und Störung erzeugte.",unüberhörbar,0.94,12.0,68.75,68.75,optimal,nonamb,True,regte -> belästigte (Eng: agitated),True,unüberhörbar war -> rücksichtslos war,False,,True,Störungen verursachte -> die Musik aufdrehte
228,swapped,4,1,belästigte,NP1-Causality,Sabine,belästigte,"Frank,",weil,sie,am frühen Morgen,rücksichtslos war,und,die Musik,aufdrehte,"Sabine belästigte Frank, weil sie am frühen Morgen rücksichtslos war und die Musik aufdrehte.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8.0,25.0,-1.36,85,NP1,regte … auf,aufregte,0.11,8.0,,"Der Schüler regte die Lehrerin auf, weil er am frühen Morgen unüberhörbar war und Störung erzeugte.",unüberhörbar,0.94,12.0,68.75,68.75,optimal,nonamb,True,regte -> belästigte (Eng: agitated),True,unüberhörbar war -> rücksichtslos war,False,,True,Störungen verursachte -> die Musik aufdrehte
229,original,5,1,belästigte,NP2-Causality,David,belästigte,"Linda,",weil,sie,am frühen Morgen,übermüdet war,und,keine Ruhe,fand,"David belästigte Linda, weil sie am frühen Morgen übermüdet war und keine Ruhe fand.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8.0,25.0,-1.36,85,NP1,regte … auf,aufregte,0.11,8.0,,"Der Schüler regte die Lehrerin auf, weil sie am frühen Morgen müde war und die Geduld fehlte.",gereizt,3.14,7.0,68.75,68.75,optimal,nonamb,True,regte -> belästigte (Eng: agitated),True,müde war -> übermüdet war,False,,True,die Geduld fehlte -> keine Ruhe fand
229,both_male,6,1,belästigte,NP2-Causality,David,belästigte,"Frank,",weil,er,am frühen Morgen,übermüdet war,und,keine Ruhe,fand,"David belästigte Frank, weil er am frühen Morgen übermüdet war und keine Ruhe fand.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8.0,25.0,-1.36,85,NP1,regte … auf,aufregte,0.11,8.0,,"Der Schüler regte die Lehrerin auf, weil sie am frühen Morgen müde war und die Geduld fehlte.",gereizt,3.14,7.0,68.75,68.75,optimal,nonamb,True,regte -> belästigte (Eng: agitated),True,müde war -> übermüdet war,False,,True,die Geduld fehlte -> keine Ruhe fand
229,both_female,7,1,belästigte,NP2-Causality,Sabine,belästigte,"Linda,",weil,sie,am frühen Morgen,übermüdet war,und,keine Ruhe,fand,"Sabine belästigte Linda, weil sie am frühen Morgen übermüdet war und keine Ruhe fand.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8.0,25.0,-1.36,85,NP1,regte … auf,aufregte,0.11,8.0,,"Der Schüler regte die Lehrerin auf, weil sie am frühen Morgen müde war und die Geduld fehlte.",gereizt,3.14,7.0,68.75,68.75,optimal,nonamb,True,regte -> belästigte (Eng: agitated),True,müde war -> übermüdet war,False,,True,die Geduld fehlte -> keine Ruhe fand
229,swapped,8,1,belästigte,NP2-Causality,Sabine,belästigte,"Frank,",weil,er,am frühen Morgen,übermüdet war,und,keine Ruhe,fand,"Sabine belästigte Frank, weil er am frühen Morgen übermüdet war und keine Ruhe fand.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8.0,25.0,-1.36,85,NP1,regte … auf,aufregte,0.11,8.0,,"Der Schüler regte die Lehrerin auf, weil sie am frühen Morgen müde war und die Geduld fehlte.",gereizt,3.14,7.0,68.75,68.75,optimal,nonamb,True,regte -> belästigte (Eng: agitated),True,müde war -> übermüdet war,False,,True,die Geduld fehlte -> keine Ruhe fand
206,original,1,2,störte,NP1-Causality,Peter,störte,"Katharina,",weil,er,am späten Nachmittag,laut war,und,das Meeting,unterbrach,"Peter störte Katharina, weil er am späten Nachmittag laut war und das Meeting unterbrach.",ok_prefix_keep_particle_or_punctuation,Peter,Eva,Sebastian,Katharina,NP1,,,annoyed,StimExp,7.0,268.0,-2.0,79,NP1,störte,störte,2.33,6.0,,"Der Bär störte die Löwin, weil er am späten Nachmittag aggressiv war und das Knurren ausstieß.",aggressiv,19.09,9.0,87.5,87.5,optimal,nonamb,False,,True,aggressiv war -> laut war,False,,True,Knurren von sich gab -> das Meeting unterbrach
206,both_male,2,2,störte,NP1-Causality,Peter,störte,"Sebastian,",weil,er,am späten Nachmittag,laut war,und,das Meeting,unterbrach,"Peter störte Sebastian, weil er am späten Nachmittag laut war und das Meeting unterbrach.",ok_prefix_keep_particle_or_punctuation,Peter,Eva,Sebastian,Katharina,NP1,,,annoyed,StimExp,7.0,268.0,-2.0,79,NP1,störte,störte,2.33,6.0,,"Der Bär störte die Löwin, weil er am späten Nachmittag aggressiv war und das Knurren ausstieß.",aggressiv,19.09,9.0,87.5,87.5,optimal,nonamb,False,,True,aggressiv war -> laut war,False,,True,Knurren von sich gab -> das Meeting unterbrach
